for," 위하여, ~를 목적으로, ~의 용도로, ~를 대상으로, ~동안에"
before,   -이전에
with ,"  -와 함께, ~를 이용해서, ~를 갖춘, ~인 상태로"
during,  -동안에
by,"  ~에 의해, ~까지, ~만큼, ~까지"
however,  그러나
when,  -할 때
despite,  그럼에도 불구하고
offer ,"  제공하다,   제안, 행사"
until ,   -까지
because,  -때문에
within,  -이내에
include,  포함하다
since,"   ~이후로,  ~때문에"
increase,"  증가하다, ~을 늘리다,   증가"
from,  -로 부터
whose,  (앞 명사)의 
who ,  (앞 명사)이가
that ,"  (앞 명사)는, 그 것을, 그 사람을,   저, 대  그러한 것"
which,"  (앞명사)가, 어떤"
experience,"  경험하다,   경험"
provide,  제공하다
once,"  일단- 한 후에,   한 때, 한 번"
accept,  수락하다 
whenever,  언제든지
therefore,  그러므로
those,"  그러한,   그러한 것들, 그러한 사람들"
directly,"  바로, 곧장"
whether,  -인지 아닌지
If,  만약 -한다면
use,  사용하다
usual,  일상의
receive,  받다
although,  그럼에도 불구하고
complete ,"  작성하다, 완료하다,   완전한"
frequently,  빈번하게
 while,"  -동안에, 반면에"
 quickly,  신속히
 all,"  모든,  모두 다,   모든 것"
 even though,  그럼에도 불구하고
 over,"  동안에, ~에 비해,  종료된,  ~이상의"
 in order to,~하기 위해
 submit,  제출하다
 soon,  곧
 extend,"  확장하다, 연장하다, 베풀어주다"
 of,  -의
 after,   이후에
 as soon as,  -하자마자
 between,  둘 사이에
 only ,"  오로지, 겨우"
 nearly,  거의
 access,"  접근하다,   권한"
 prior to ,  -이전에
 due to ,  -때문에
 among,  -사이에
 in ,"  -안에, ~후에, ~만에, ~에 대한"
 already,  벌써
 each,"  각각의,   각각 하나씩,   각각"
 as ,"  -로써,   ~하는대로, ~하는 것처럼, ~ 만큼"
 because of,  -때문에
 in addition to,"  게다가, 추가로"
 later ,"  더 늦은, 추후의,  나중에, ~ 말에"
 operate,"  운영하다,  가동하다, 운영되다"
 deliver ,"  전하다, 배송하다"
 rather than ,  -라기 보다는
 inconvenience,  불편
 according to,  -에 따르면
 this,"  이러한,   이렇게나,   (앞사 언급된) 그 것"
 update,"  업데이트하다, 갱신하다,   업데이트"
 to ,  -로
 otherwise,"  그렇지 않으면, (보통과) 다르게"
 easily,  쉽게
 so,"  그래서,   너무나, 그렇게"
 accessible,"  접근가능한, 이용가능한"
 regarding,  관하여
 innovative,  혁신적인
 reliable,  믿을만한
 estimate,"  추정하다,  견적(서/액)"
increasingly,  점차적으로
most,"  대부분의, 가장많은,   대부분의 사람/ 것"
 establish,"  설립하다, 제정하다"
 expire,  만료되다
 regularly,  정기적으로
 participate,  참여하다
 confirm,  확인하다
 promptly,  신속히
 replace ,  교체하다
 limit,"  제한하다
  제한"
 conveniently,  편리하게
 generally,  일반적으로
 announce,  발표하다
 make,"  만들다, ~하다 "
 revise,  수정하다
 automatically,  자동적으로
 return,"  돌려주다,  반납, 귀환"
 approximately,"  거의, 약"
 oversee,"  감독하다, 관리하다"
 require ,  요구하다
 also,  또한
 as a result ,  그 결과로
 change,"  변경하다,  변경사항"
 about,"  -에 관하여,  예정인,  대략"
 on,  -에 
 purchase,"  구매하다,   구매"
 considerably,  상당히
 schedule,"  일정(표),   일정을 짜다"
 additional,  추가적인
 both,"  둘 다,   두 사람 모두"
 upon,  -하자마자
 exclusively,  오로지 
 propose,  제안하다
 either,"부,데) 둘 중 하나"
 one,"  하나의,   어느 하나"
 almost,  거의
 extensive,"  광범위한, 폭넓은"
 affordable,"  저렴한, 적당한"
 available,  이용가능한
 as long as ,  -하는 한 
 or ,  혹은
 at,  -에서
 process,"  처리하다,   과정"
expect,  기대하다
 follow,  따르다
 give,  주다
 simply,"  단순히,   그저"
serve,  제공하다
 some,"  몇몇의,   몇 사람, 몇 개"
 feature ,"  특별기능,   특별히 갖추다, 보여주다, 취재하다, 보도하다"
 unless,  -하지않으면
 attend,  참여하다
 create ,  만들다
 but ,  그러나
 without,  -없이
 original,  원래의
 promotion,"  홍보, 승진"
 promote,"  홍보하다, 승진시키다"
 successfully,  성공적으로
 recommend ,  추천하다
 reduce,  줄이다
 immediately,  즉시
 previous,  이전의
 just,"  단지, 겨우, 막"
 significant,  상당한
 than ,  -보다
 any ,"  어떠한,   어떤 것"
 project,  프로젝트
 throughout,"  내내, 곳곳에 "
 invite,  초대하다
 distribute,"  배포하다, 배급하다, 유통하다"
 enhance,"  향상시키다, 개선하다"
 postpone,  연기하다
 notify,  통보하다
 design,"  디자인,  디자인하다"
 competitive,"  경쟁력있는, 경쟁이 치열한"
 impressive,  인상적인
 lead to ,  초래하다
 discuss,  토론하다
 review,"  검토하다,  검토, 후기"
 implement,  실행하다
 finally,  결국
 fully,  완전히
 intentionally,  의도적으로
 result,  결과
 yet,"  아직,   그러나"
 these,"  이러한,   이러한 것들"
 anyone,  누구든지
 except , -를  제외한
 early,"  이른, 초기의,   일찍, ~초에"
 along with,  -와 함께
 every ,  모든
 detail,"  상세히 설명하다,   세부사항"
 feedback,"  피드백, 의견"
 qualified,  유능한
 consistently,  지속적으로
 separately,  별도로
 approval,  승인
 what,"  무엇이 -하는지, ~하는 모든 것"
 allow,"  허용하다, 가능하게 만들다, ~를 허용하다"
 plan ,"  계획하다,  계획상품"
 refund,"  환불하다,   환불(액)"
 handle,"  다루다, 취급하다"
 identify,"  확인하다, 파악하다"
 select,  선정하다
 secure,"  안전한, 보안의,  확보하다, 안전하게 하다"
 interest ,"  관심, 이자,   흥미를 주다"
 transfer,"  이주,   이동시키다"
 variety,  다양성
 everything,  모든 것
 even if,  그럼에도 불구하고
 For that reason,  그런 이유로
For this reason,  이런 이유로
 whichever,  어느것이든 관계없이
 now that,  때문에
 clearly,  확실히
 now ,  이제는
satisfy,  만족시키다
 installation,  설치
 view,"  전망, 견해,   보다"
 issue,"  문제점, 이슈,   발행하다"
